t,dayofweek,weekend,y,y_t_1
19,0,1,9.50775,9.066272727272727
20,1,0,6.581,9.50775
21,2,0,12.301,6.581
22,3,0,4.812818181818182,12.301
23,4,0,11.724083333333333,4.812818181818182
24,5,0,13.714833333333333,11.724083333333333
25,6,1,8.548333333333334,13.714833333333333
26,0,1,8.706555555555555,8.548333333333334
27,1,0,8.605090909090908,8.706555555555555
28,2,0,6.166764705882353,8.605090909090908
29,3,0,11.119466666666666,6.166764705882353
30,4,0,12.06575,11.119466666666666
31,5,0,7.8678,12.06575
1,6,1,7.958444444444445,7.8678
2,0,1,10.025857142857143,7.958444444444445
3,1,0,7.687888888888889,10.025857142857143
4,2,0,8.737642857142857,7.687888888888889
5,3,0,6.567374999999999,8.737642857142857
6,4,0,12.84809090909091,6.567374999999999
7,5,0,10.695083333333335,12.84809090909091
8,6,1,8.827357142857142,10.695083333333335
9,0,1,10.565142857142858,8.827357142857142
10,1,0,10.6605,10.565142857142858
11,2,0,8.046555555555555,10.6605
12,3,0,9.273222222222223,8.046555555555555
13,4,0,7.6034999999999995,9.273222222222223
14,5,0,13.260399999999999,7.6034999999999995
15,6,1,9.770833333333334,13.260399999999999
16,0,1,10.197125,9.770833333333334
17,1,0,9.022363636363638,10.197125
18,2,0,9.299299999999999,9.022363636363638
19,3,0,9.07842857142857,9.299299999999999
20,4,0,10.909705882352942,9.07842857142857
21,5,0,4.7191052631578945,10.909705882352942
22,6,1,9.353266666666666,4.7191052631578945
23,0,1,11.186200000000001,9.353266666666666
24,1,0,7.284454545454546,11.186200000000001
25,2,0,6.090857142857142,7.284454545454546
26,3,0,12.34011111111111,6.090857142857142
27,4,0,7.9238,12.34011111111111
28,5,0,8.874,7.9238
29,6,1,10.046722222222222,8.874
30,0,1,8.152727272727274,10.046722222222222
31,1,0,10.437190476190477,8.152727272727274
1,2,0,9.650699999999999,10.437190476190477
2,3,0,7.6512631578947365,9.650699999999999
3,4,0,7.173466666666667,7.6512631578947365
4,5,0,9.040411764705883,7.173466666666667
5,6,1,6.0891874999999995,9.040411764705883
6,0,1,5.942846153846154,6.0891874999999995
7,1,0,8.315666666666667,5.942846153846154
8,2,0,14.96875,8.315666666666667
9,3,0,12.685666666666668,14.96875
10,4,0,15.092375,12.685666666666668
11,5,0,9.087388888888889,15.092375
12,6,1,7.493884615384616,9.087388888888889
13,0,1,8.749083333333333,7.493884615384616
14,1,0,8.391,8.749083333333333
